Customer ID,Month,Call Minutes,Customer Type,Data Usage (GB)
1001,2022-01,150,Prepaid,2.1
1001,2022-02,160,Prepaid,2.2
1001,2022-03,170,Prepaid,2.3
1001,2022-04,180,Prepaid,2.4
1001,2022-05,190,Prepaid,2.6
1001,2022-06,200,Prepaid,2.8
1001,2022-07,210,Prepaid,3
1001,2022-08,220,Prepaid,3.2
1001,2022-09,230,Prepaid,3.4
1001,2022-10,240,Prepaid,3.5
1001,2022-11,250,Prepaid,3.7
1001,2022-12,260,Prepaid,3.8
1002,2022-01,90,Postpaid,1
1002,2022-02,100,Postpaid,1.1
1002,2022-03,110,Postpaid,1.2
1002,2022-04,120,Postpaid,1.3
1002,2022-05,130,Postpaid,1.4
1002,2022-06,140,Postpaid,1.5
1002,2022-07,150,Postpaid,1.6
1002,2022-08,160,Postpaid,1.7
1002,2022-09,170,Postpaid,1.8
1002,2022-10,180,Postpaid,1.9
1002,2022-11,190,Postpaid,2
1002,2022-12,200,Postpaid,2.1
1003,2022-01,200,Prepaid,3
1003,2022-02,210,Prepaid,3.1
1003,2022-03,220,Prepaid,3.2
1003,2022-04,230,Prepaid,3.3
1003,2022-05,240,Prepaid,3.4
1003,2022-06,250,Prepaid,3.6
1003,2022-07,260,Prepaid,3.7
1003,2022-08,270,Prepaid,3.8
1003,2022-09,280,Prepaid,3.9
1003,2022-10,290,Prepaid,4
1003,2022-11,300,Prepaid,4.1
1003,2022-12,310,Prepaid,4.2
1004,2022-01,85,Postpaid,0.9
1004,2022-02,95,Postpaid,1
1004,2022-03,100,Postpaid,1.1
1004,2022-04,110,Postpaid,1.2
1004,2022-05,,,
1004,2022-06,Postpaid,1.4,110
1004,2022-07,Postpaid,1.5,120
1004,2022-08,Postpaid,1.6,130
1004,2022-09,Postpaid,1.7,140
1004,2022-10,Postpaid,1.8,150
1004,2022-11,Postpaid,1.9,160
1004,2022-12,Postpaid,2,170
1005,2022-01,Prepaid,2.4,180
1005,2022-02,Prepaid,2.5,190
1005,2022-03,Prepaid,2.6,200
1005,2022-04,Prepaid,2.7,210
1005,2022-05,Prepaid,2.8,220
1005,2022-06,Prepaid,2.9,230
1005,2022-07,Prepaid,3,240
1005,2022-08,Prepaid,3.1,250
1005,2022-09,Prepaid,3.2,260
1005,2022-10,Prepaid,3.3,270
1005,2022-11,Prepaid,3.5,280
1005,2022-12,Prepaid,3.6,290
1006,2022-01,Prepaid,3.8,310
1006,2022-02,Prepaid,4,320
1006,2022-03,Prepaid,4.1,330
1006,2022-04,Prepaid,4.3,340
1006,2022-05,Prepaid,4.5,350
1006,2022-06,Prepaid,4.7,360
1006,2022-07,Prepaid,4.9,370
1006,2022-08,Prepaid,5,380
1006,2022-09,Prepaid,5.2,390
1006,2022-10,Prepaid,5.4,400
1006,2022-11,Prepaid,5.5,410
1006,2022-12,Prepaid,5.6,420
